freq,ang,val
6.43,76.0,-41.15
6.67,76.0,-29.12
6.91,76.0,-27.6
7.17,76.0,-29.9
7.44,76.0,-33.95
7.71,76.0,-29.26
8.0,76.0,-35.63
4.0,80.0,-16.88
4.15,80.0,-19.98
4.3,80.0,-27.2
4.46,80.0,-25.25
4.63,80.0,-23.27
4.8,80.0,-23.82
4.98,80.0,-25.85
5.16,80.0,-29.08
5.36,80.0,-31.41
5.55,80.0,-29.87
5.76,80.0,-28.0
5.98,80.0,-27.78
6.2,80.0,-30.47
6.43,80.0,-33.3
6.67,80.0,-27.91
6.91,80.0,-27.66
7.17,80.0,-32.39
7.44,80.0,-30.46
7.71,80.0,-29.22
8.0,80.0,-35.48
4.0,84.0,-17.35
4.15,84.0,-21.1
4.3,84.0,-41.52
4.46,84.0,-23.61
4.63,84.0,-22.66
4.8,84.0,-23.62
4.98,84.0,-25.99
5.16,84.0,-29.53
5.36,84.0,-31.65
5.55,84.0,-29.71
5.76,84.0,-27.98
5.98,84.0,-28.16
6.2,84.0,-32.31
6.43,84.0,-30.83
6.67,84.0,-27.41
6.91,84.0,-27.96
7.17,84.0,-36.64
7.44,84.0,-29.25
7.71,84.0,-29.69
8.0,84.0,-31.58
4.0,88.0,-17.64
4.15,88.0,-21.82
4.3,88.0,-29.78
4.46,88.0,-23.0
4.63,88.0,-22.42
4.8,88.0,-23.57
4.98,88.0,-26.11
5.16,88.0,-29.84
5.36,88.0,-31.8
5.55,88.0,-29.65
5.76,88.0,-28.0
5.98,88.0,-28.41
6.2,88.0,-33.73
6.43,88.0,-30.0
6.67,88.0,-27.23
6.91,88.0,-28.2
7.17,88.0,-46.37
7.44,88.0,-28.81
7.71,88.0,-30.13
8.0,88.0,-30.48
4.0,90.0,-17.67
4.15,90.0,-21.92
4.3,90.0,-29.3
4.46,90.0,-22.94
4.63,90.0,-22.39
4.8,90.0,-23.56
4.98,90.0,-26.13
5.16,90.0,-29.88
5.36,90.0,-31.82
5.55,90.0,-29.64
5.76,90.0,-28.0
5.98,90.0,-28.44
6.2,90.0,-33.95
6.43,90.0,-29.91
6.67,90.0,-27.21
6.91,90.0,-28.24
7.17,90.0,-57.87
7.44,90.0,-28.77
7.71,90.0,-30.2
8.0,90.0,-30.37
4.0,92.0,-17.64
4.15,92.0,-21.82
4.3,92.0,-29.78
4.46,92.0,-23.0
4.63,92.0,-22.42
4.8,92.0,-23.57
4.98,92.0,-26.11
5.16,92.0,-29.84
5.36,92.0,-31.8
5.55,92.0,-29.65
5.76,92.0,-28.0
5.98,92.0,-28.41
6.2,92.0,-33.73
6.43,92.0,-30.0
6.67,92.0,-27.23
6.91,92.0,-28.2
7.17,92.0,-46.37
7.44,92.0,-28.81
7.71,92.0,-30.13
8.0,92.0,-30.48
4.0,96.0,-17.35
4.15,96.0,-21.1
4.3,96.0,-41.52
4.46,96.0,-23.61
4.63,96.0,-22.66
4.8,96.0,-23.62
4.98,96.0,-25.99
5.16,96.0,-29.53
5.36,96.0,-31.65
5.55,96.0,-29.71
5.76,96.0,-27.98
5.98,96.0,-28.16
6.2,96.0,-32.31
6.43,96.0,-30.83
6.67,96.0,-27.41
6.91,96.0,-27.96
7.17,96.0,-36.64
7.44,96.0,-29.25
7.71,96.0,-29.69
8.0,96.0,-31.58
4.0,100.0,-16.88
4.15,100.0,-19.98
4.3,100.0,-27.2
4.46,100.0,-25.25
4.63,100.0,-23.27
4.8,100.0,-23.82
4.98,100.0,-25.85
5.16,100.0,-29.08
5.36,100.0,-31.41
5.55,100.0,-29.87
5.76,100.0,-28.0
5.98,100.0,-27.78
6.2,100.0,-30.47
6.43,100.0,-33.3
6.67,100.0,-27.91
6.91,100.0,-27.66
7.17,100.0,-32.39
7.44,100.0,-30.46
7.71,100.0,-29.22
8.0,100.0,-35.48
4.0,104.0,-16.36
4.15,104.0,-18.8
4.3,104.0,-23.16
4.46,104.0,-31.06
4.63,104.0,-24.68
4.8,104.0,-24.4
4.98,104.0,-25.92
5.16,104.0,-28.73
5.36,104.0,-31.26
5.55,104.0,-30.24
5.76,104.0,-28.18
5.98,104.0,-27.44
6.2,104.0,-28.85
6.43,104.0,-41.15
6.67,104.0,-29.12
6.91,104.0,-27.6
7.17,104.0,-29.9
7.44,104.0,-33.95
7.71,104.0,-29.26
8.0,104.0,-35.63
4.0,108.0,-15.96
4.15,108.0,-17.78
4.3,108.0,-20.72
4.46,108.0,-26.45
4.63,108.0,-28.69
4.8,108.0,-25.9
4.98,108.0,-26.57
5.16,108.0,-28.87
5.36,108.0,-31.56
5.55,108.0,-31.09
5.76,108.0,-28.71
5.98,108.0,-27.36
6.2,108.0,-27.7
6.43,108.0,-31.21
6.67,108.0,-32.4
6.91,108.0,-28.21
7.17,108.0,-28.58
7.44,108.0,-35.81
7.71,108.0,-30.56
8.0,108.0,-31.21
4.0,112.0,-15.83
4.15,112.0,-17.09
4.3,112.0,-19.11
4.46,112.0,-22.29
4.63,112.0,-28.31
4.8,112.0,-31.02
4.98,112.0,-28.79
5.16,112.0,-30.31
5.36,112.0,-33.32
5.55,112.0,-33.36
5.76,112.0,-30.09
5.98,112.0,-27.83
6.2,112.0,-27.17
6.43,112.0,-28.44
6.67,112.0,-35.31
6.91,112.0,-30.42
7.17,112.0,-28.45
7.44,112.0,-30.45
7.71,112.0,-36.24
8.0,112.0,-30.67
4.0,116.0,-16.24
4.15,116.0,-16.9
4.3,116.0,-18.21
4.46,116.0,-20.25
4.63,116.0,-23.24
4.8,116.0,-27.8
4.98,116.0,-36.76
5.16,116.0,-40.95
5.36,116.0,-40.79
5.55,116.0,-40.62
5.76,116.0,-34.48
5.98,116.0,-29.52
6.2,116.0,-27.53
6.43,116.0,-27.33
6.67,116.0,-29.27
6.91,116.0,-44.06
7.17,116.0,-30.2
7.44,116.0,-29.28
7.71,116.0,-32.91
8.0,116.0,-33.72
4.0,120.0,-17.71
4.15,120.0,-17.52
4.3,120.0,-18.12
4.46,120.0,-19.36
4.63,120.0,-21.22
4.8,120.0,-23.7
4.98,120.0,-26.59
5.16,120.0,-29.06
5.36,120.0,-30.01
5.55,120.0,-30.43
5.76,120.0,-32.6
5.98,120.0,-37.42
6.2,120.0,-29.7
6.43,120.0,-27.69
6.67,120.0,-27.66
6.91,120.0,-29.85
7.17,120.0,-55.42
7.44,120.0,-30.89
7.71,120.0,-30.43
8.0,120.0,-35.46
4.0,124.0,-23.03
4.15,124.0,-19.95
4.3,124.0,-19.33
4.46,124.0,-19.7
4.63,124.0,-20.72
4.8,124.0,-22.26
4.98,124.0,-24.1
5.16,124.0,-25.82
5.36,124.0,-26.88
5.55,124.0,-27.34
5.76,124.0,-27.95
5.98,124.0,-29.79
6.2,124.0,-37.79
6.43,124.0,-30.98
6.67,124.0,-28.34
6.91,124.0,-28.13
7.17,124.0,-30.07
7.44,124.0,-39.62
7.71,124.0,-32.41
8.0,124.0,-31.8
4.0,128.0,-19.69
4.15,128.0,-26.78
4.3,128.0,-24.96
4.46,128.0,-22.5
4.63,128.0,-22.21
4.8,128.0,-22.82
4.98,128.0,-23.9
5.16,128.0,-25.07
5.36,128.0,-25.89
5.55,128.0,-26.18
5.76,128.0,-26.26
5.98,128.0,-26.67
6.2,128.0,-28.0
6.43,128.0,-31.6
6.67,128.0,-35.28
6.91,128.0,-29.81
7.17,128.0,-28.93
7.44,128.0,-30.23
7.71,128.0,-35.42
8.0,128.0,-35.32
4.0,130.0,-17.25
4.15,130.0,-20.37
4.3,130.0,-26.08
4.46,130.0,-28.21
4.63,130.0,-24.82
4.8,130.0,-24.42
4.98,130.0,-24.94
5.16,130.0,-25.76
5.36,130.0,-26.34
5.55,130.0,-26.41
5.76,130.0,-26.2
5.98,130.0,-26.16
6.2,130.0,-26.73
6.43,130.0,-28.41
6.67,130.0,-32.97
6.91,130.0,-33.85
7.17,130.0,-30.02
7.44,130.0,-29.75
7.71,130.0,-31.81
8.0,130.0,-40.97
4.0,132.0,-15.83
4.15,132.0,-17.92
4.3,132.0,-20.7
4.46,132.0,-24.81
4.63,132.0,-36.0
4.8,132.0,-29.3
4.98,132.0,-27.97
5.16,132.0,-27.97
5.36,132.0,-28.0
5.55,132.0,-27.57
5.76,132.0,-26.86
5.98,132.0,-26.31
6.2,132.0,-26.25
6.43,132.0,-26.97
6.67,132.0,-28.94
6.91,132.0,-34.38
7.17,132.0,-33.59
7.44,132.0,-30.62
7.71,132.0,-30.85
8.0,132.0,-33.74
4.0,136.0,-14.66
4.15,136.0,-15.83
4.3,136.0,-17.26
4.46,136.0,-18.94
4.63,136.0,-20.83
4.8,136.0,-22.85
4.98,136.0,-24.82
5.16,136.0,-26.66
5.36,136.0,-28.54
5.55,136.0,-31.41
5.76,136.0,-47.17
5.98,136.0,-30.92
6.2,136.0,-28.2
6.43,136.0,-27.09
6.67,136.0,-26.98
6.91,136.0,-27.86
7.17,136.0,-30.09
7.44,136.0,-35.95
7.71,136.0,-35.29
8.0,136.0,-32.9
4.0,140.0,-15.55
4.15,140.0,-16.07
4.3,140.0,-16.84
4.46,140.0,-17.8
4.63,140.0,-18.89
4.8,140.0,-20.04
4.98,140.0,-21.15
5.16,140.0,-22.14
5.36,140.0,-23.02
5.55,140.0,-23.88
5.76,140.0,-24.93
5.98,140.0,-26.48
6.2,140.0,-29.22
6.43,140.0,-37.74
6.67,140.0,-31.62
6.91,140.0,-29.11
7.17,140.0,-28.61
7.44,140.0,-29.31
7.71,140.0,-31.32
8.0,140.0,-35.73
4.0,144.0,-24.2
4.15,144.0,-21.42
4.3,144.0,-20.65
4.46,144.0,-20.61
4.63,144.0,-20.94
4.8,144.0,-21.45
4.98,144.0,-21.99
5.16,144.0,-22.44
5.36,144.0,-22.76
5.55,144.0,-22.99
5.76,144.0,-23.22
5.98,144.0,-23.58
6.2,144.0,-24.21
6.43,144.0,-25.23
6.67,144.0,-26.85
6.91,144.0,-29.56
7.17,144.0,-35.58
7.44,144.0,-35.08
7.71,144.0,-32.22
8.0,144.0,-32.12
4.0,148.0,-15.06
4.15,148.0,-16.51
4.3,148.0,-18.01
4.46,148.0,-19.51
4.63,148.0,-20.97
4.8,148.0,-22.39
4.98,148.0,-23.84
5.16,148.0,-25.53
5.36,148.0,-27.93
5.55,148.0,-33.17
5.76,148.0,-32.42
5.98,148.0,-28.26
6.2,148.0,-26.58
6.43,148.0,-25.84
6.67,148.0,-25.69
6.91,148.0,-26.04
7.17,148.0,-26.89
7.44,148.0,-28.3
7.71,148.0,-30.42
8.0,148.0,-33.62
4.0,152.0,-12.47
4.15,152.0,-13.38
4.3,152.0,-14.28
4.46,152.0,-15.17
4.63,152.0,-16.01
4.8,152.0,-16.8
4.98,152.0,-17.54
5.16,152.0,-18.25
5.36,152.0,-18.96
5.55,152.0,-19.73
5.76,152.0,-20.6
5.98,152.0,-21.64
6.2,152.0,-22.93
6.43,152.0,-24.56
6.67,152.0,-26.75
6.91,152.0,-29.99
7.17,152.0,-37.06
7.44,152.0,-35.14
7.71,152.0,-32.65
8.0,152.0,-32.35
4.0,156.0,-13.89
4.15,156.0,-14.82
4.3,156.0,-15.78
4.46,156.0,-16.74
4.63,156.0,-17.66
4.8,156.0,-18.49
4.98,156.0,-19.2
5.16,156.0,-19.77
5.36,156.0,-20.21
5.55,156.0,-20.56
5.76,156.0,-20.87
5.98,156.0,-21.21
6.2,156.0,-21.62
6.43,156.0,-22.12
6.67,156.0,-22.76
6.91,156.0,-23.54
7.17,156.0,-24.49
7.44,156.0,-25.6
7.71,156.0,-26.86
8.0,156.0,-28.25
4.0,160.0,-13.19
4.15,160.0,-13.01
4.3,160.0,-12.91
4.46,160.0,-12.87
4.63,160.0,-12.9
4.8,160.0,-13.0
4.98,160.0,-13.17
5.16,160.0,-13.41
5.36,160.0,-13.7
5.55,160.0,-14.06
5.76,160.0,-14.46
5.98,160.0,-14.92
6.2,160.0,-15.43
6.43,160.0,-15.97
6.67,160.0,-16.55
6.91,160.0,-17.15
7.17,160.0,-17.77
7.44,160.0,-18.4
7.71,160.0,-19.05
8.0,160.0,-19.72
4.0,164.0,-6.5
4.15,164.0,-6.57
4.3,164.0,-6.65
4.46,164.0,-6.74
4.63,164.0,-6.85
4.8,164.0,-6.98
4.98,164.0,-7.12
5.16,164.0,-7.28
5.36,164.0,-7.46
5.55,164.0,-7.66
5.76,164.0,-7.88
5.98,164.0,-8.12
6.2,164.0,-8.38
6.43,164.0,-8.66
6.67,164.0,-8.96
6.91,164.0,-9.27
7.17,164.0,-9.61
7.44,164.0,-9.96
7.71,164.0,-10.32
8.0,164.0,-10.71
4.0,168.0,-3.29
4.15,168.0,-3.35
4.3,168.0,-3.41
4.46,168.0,-3.47
4.63,168.0,-3.54
4.8,168.0,-3.62
4.98,168.0,-3.7
5.16,168.0,-3.79
5.36,168.0,-3.89
5.55,168.0,-4.0
5.76,168.0,-4.12
5.98,168.0,-4.24
6.2,168.0,-4.38
6.43,168.0,-4.52
6.67,168.0,-4.68
6.91,168.0,-4.84
7.17,168.0,-5.01
7.44,168.0,-5.19
7.71,168.0,-5.38
8.0,168.0,-5.58
4.0,172.0,-1.39
4.15,172.0,-1.41
4.3,172.0,-1.44
4.46,172.0,-1.47
4.63,172.0,-1.5
4.8,172.0,-1.54
4.98,172.0,-1.58
5.16,172.0,-1.62
5.36,172.0,-1.66
5.55,172.0,-1.71
5.76,172.0,-1.76
5.98,172.0,-1.81
6.2,172.0,-1.87
6.43,172.0,-1.93
6.67,172.0,-1.99
6.91,172.0,-2.06
7.17,172.0,-2.14
7.44,172.0,-2.21
7.71,172.0,-2.29
8.0,172.0,-2.38
4.0,176.0,-0.34
4.15,176.0,-0.34
4.3,176.0,-0.35
4.46,176.0,-0.36
4.63,176.0,-0.37
4.8,176.0,-0.38
4.98,176.0,-0.39
5.16,176.0,-0.4
5.36,176.0,-0.41
5.55,176.0,-0.42
5.76,176.0,-0.43
5.98,176.0,-0.44
6.2,176.0,-0.46
6.43,176.0,-0.47
6.67,176.0,-0.49
6.91,176.0,-0.51
7.17,176.0,-0.52
7.44,176.0,-0.54
7.71,176.0,-0.56
8.0,176.0,-0.58
4.0,180.0,0.0
4.15,180.0,0.0
4.3,180.0,-0.0
4.46,180.0,-0.0
4.63,180.0,0.0
4.8,180.0,0.0
4.98,180.0,0.0
5.16,180.0,0.0
5.36,180.0,-0.0
5.55,180.0,0.0
5.76,180.0,0.0
5.98,180.0,0.0
6.2,180.0,0.0
6.43,180.0,0.0
6.67,180.0,0.0
6.91,180.0,0.0
7.17,180.0,-0.0
7.44,180.0,-0.0
7.71,180.0,0.0
8.0,180.0,-0.0
